MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[60, 60, 40]",0.001,0.4,3,epoch_12,0.6435,0.0745,0.8523,0.2133,0.8328,0.2183,9,0.6564,0.801,0.6481,6.3581
"[120, 60, 20]",0.001,0.4,3,epoch_15,0.7278,0.1466,0.852,0.2086,0.822,0.2265,14,0.7032,0.803,0.6368,1.917
"[120, 60, 40]",0.001,0.4,3,epoch_9,0.6464,0.0689,0.8497,0.2078,0.8268,0.2231,4,0.6374,0.807,0.6531,29.2357
"[30, 20]",0.001,0.6,1,epoch_18,0.6566,0.0744,0.8577,0.2086,0.8253,0.2242,4,0.4108,0.8112,0.6959,74.6561
"[60, 60]",0.001,0.6,1,epoch_17,0.7177,0.1573,0.8533,0.2017,0.8271,0.2141,4,0.6535,0.8059,0.6784,19.0916
"[60, 60, 40]",0.001,0.6,1,epoch_17,0.6783,0.104,0.8524,0.2046,0.832,0.2122,3,0.655,0.8132,0.6862,132.9988
"[120, 60, 20]",0.001,0.6,1,epoch_17,0.6667,0.1117,0.8512,0.2066,0.8288,0.2202,17,0.6667,0.8021,0.6374,3.1043
"[120, 60, 40]",0.001,0.6,1,epoch_14,0.6667,0.108,0.8491,0.2075,0.8238,0.2185,12,0.6433,0.792,0.6349,4.785
"[30, 20]",0.001,0.6,3,epoch_16,0.6508,0.0602,0.8573,0.2125,0.832,0.2291,1,0.3626,0.8245,0.7144,131.553
"[60, 60]",0.001,0.6,3,epoch_15,0.7045,0.1357,0.8599,0.2115,0.8364,0.2252,13,0.6652,0.8083,0.6544,3.5165
"[60, 60, 40]",0.001,0.6,3,epoch_16,0.6435,0.0716,0.8611,0.211,0.8444,0.217,15,0.6506,0.8055,0.6523,4.546
"[120, 60, 20]",0.001,0.6,3,epoch_16,0.6406,0.0774,0.8546,0.2104,0.8314,0.23,16,0.6404,0.8062,0.645,3.8154
"[120, 60, 40]",0.001,0.6,3,epoch_14,0.6464,0.087,0.8585,0.2076,0.8329,0.2261,13,0.6447,0.8037,0.645,3.9528
"[30, 20]",0.01,0,1,epoch_3,0.7075,0.132,0.8495,0.2018,0.8158,0.2116,0,0.6623,0.8234,0.6738,32.105
"[60, 60]",0.01,0,1,epoch_2,0.7444,0.1607,0.852,0.1867,0.8212,0.1958,0,0.6564,0.8107,0.7013,5.1178
"[60, 60, 40]",0.01,0,1,epoch_1,0.6551,0.0564,0.8536,0.1967,0.827,0.2127,1,0.655,0.8248,0.6898,1.7972
"[120, 60, 20]",0.01,0,1,epoch_1,0.6624,0.0832,0.8382,0.1983,0.8041,0.2166,1,0.6623,0.8064,0.6485,1.8202
"[120, 60, 40]",0.01,0,1,epoch_1,0.6856,0.132,0.8419,0.2018,0.8102,0.2112,1,0.6857,0.8061,0.6392,1.3381
"[30, 20]",0.01,0,3,epoch_2,0.6812,0.1144,0.8478,0.2026,0.816,0.2129,1,0.6491,0.8142,0.6655,5.8933
"[60, 60]",0.01,0,3,epoch_1,0.687,0.1107,0.8454,0.2036,0.8164,0.2148,1,0.6871,0.8191,0.6761,1.4727
"[60, 60, 40]",0.01,0,3,epoch_1,0.6566,0.0557,0.8464,0.2072,0.8189,0.2185,1,0.6564,0.8182,0.6726,1.7716
"[120, 60, 20]",0.01,0,3,epoch_1,0.6479,0.0719,0.8419,0.2037,0.8152,0.2137,1,0.6477,0.808,0.6552,1.8555
"[120, 60, 40]",0.01,0,3,epoch_1,0.69,0.1179,0.8461,0.2025,0.8203,0.2105,0,0.6564,0.8074,0.6623,4.7882
"[30, 20]",0.01,0.2,1,epoch_2,0.6855,0.1126,0.8564,0.2052,0.8249,0.2175,0,0.6784,0.8247,0.6832,31.8016
