MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.001,0.2,1,epoch_19,0.8434,0.1372,0.8239,0.1726,0.6046,0.2578,9,0.898,0.8272,0.3957,0.9317
"[30, 20]",0.001,0.2,3,epoch_42,0.8353,0.1496,0.8066,0.1862,0.5803,0.2627,14,0.8976,0.7895,0.3503,0.8608
"[60, 60]",0.001,0.2,3,epoch_18,0.8589,0.0999,0.8224,0.1711,0.5912,0.2587,10,0.8994,0.8172,0.384,0.9132
"[60, 60, 40]",0.001,0.2,3,epoch_18,0.8631,0.0899,0.8282,0.1662,0.6041,0.2587,8,0.8933,0.8194,0.3922,1.1154
"[120, 60, 20]",0.001,0.2,3,epoch_20,0.8509,0.1195,0.8223,0.1689,0.5949,0.2567,8,0.8933,0.8086,0.3848,1.0239
"[120, 60, 40]",0.001,0.2,3,epoch_18,0.8476,0.1279,0.8251,0.1709,0.6053,0.2597,8,0.8933,0.8249,0.4008,0.9957
"[30, 20]",0.001,0.4,1,epoch_45,0.8325,0.1596,0.8099,0.1889,0.5896,0.2709,16,0.9013,0.8082,0.3695,0.8959
"[60, 60]",0.001,0.4,1,epoch_20,0.8514,0.118,0.8246,0.1721,0.5967,0.257,10,0.9037,0.8271,0.409,0.9604
"[60, 60, 40]",0.001,0.4,1,epoch_20,0.8557,0.1063,0.8313,0.1659,0.6019,0.2607,7,0.8933,0.8171,0.4159,1.2215
"[120, 60, 20]",0.001,0.4,1,epoch_22,0.8415,0.141,0.8218,0.1763,0.6021,0.2707,10,0.8976,0.8311,0.4161,0.9877
"[120, 60, 40]",0.001,0.4,1,epoch_19,0.8542,0.1215,0.8337,0.1643,0.6169,0.262,9,0.899,0.8391,0.4269,1.001
"[30, 20]",0.001,0.4,3,epoch_44,0.8396,0.1419,0.8096,0.1845,0.5852,0.2661,14,0.8966,0.7971,0.3596,0.9522
"[60, 60]",0.001,0.4,3,epoch_18,0.8641,0.0917,0.8277,0.1693,0.6035,0.2582,9,0.8985,0.8198,0.3974,1.0252
"[60, 60, 40]",0.001,0.4,3,epoch_22,0.8528,0.1193,0.8263,0.1728,0.612,0.2654,6,0.8933,0.8052,0.4118,1.3957
"[120, 60, 20]",0.001,0.4,3,epoch_19,0.8627,0.0967,0.8319,0.1589,0.6051,0.2567,7,0.8933,0.8088,0.4088,1.1819
"[120, 60, 40]",0.001,0.4,3,epoch_17,0.866,0.0963,0.834,0.1613,0.6117,0.2578,8,0.8933,0.8326,0.4191,1.0479
