MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[40],0.001,0.1,0,926,0.8962,0.8408,0.5671
"[40, 40]",0.001,0.1,0,614,0.9007,0.8535,0.5816
"[60, 40]",0.001,0.1,0,539,0.9003,0.8545,0.5575
"[120, 60, 40]",0.001,0.1,0,324,0.9007,0.8659,0.5898
[20],0.001,0.2,0,1000,0.8953,0.8347,0.5564
"[30, 20]",0.001,0.2,0,967,0.903,0.8614,0.5868
"[60, 20]",0.001,0.2,0,731,0.9021,0.8583,0.5864
"[60, 60, 20]",0.001,0.2,0,621,0.9007,0.8681,0.5902
"[120, 60, 20]",0.001,0.2,0,444,0.903,0.8641,0.5941
[40],0.001,0.2,0,985,0.8976,0.8461,0.5706
"[40, 40]",0.001,0.2,0,904,0.9016,0.8634,0.5933
"[60, 40]",0.001,0.2,0,635,0.9016,0.8581,0.5824
"[120, 60, 40]",0.001,0.2,0,446,0.8989,0.8686,0.6077
[20],0.001,0.3,0,991,0.8967,0.837,0.5584
"[30, 20]",0.001,0.3,0,996,0.9016,0.8622,0.5915
"[60, 20]",0.001,0.3,0,716,0.8998,0.8556,0.5902
"[60, 60, 20]",0.001,0.3,0,607,0.9003,0.8648,0.5836
"[120, 60, 20]",0.001,0.3,0,626,0.8994,0.8694,0.6116
[40],0.001,0.3,0,997,0.8967,0.8489,0.5725
"[40, 40]",0.001,0.3,0,819,0.903,0.8601,0.5913
"[60, 40]",0.001,0.3,0,851,0.9016,0.865,0.5904
"[120, 60, 40]",0.001,0.3,0,501,0.9025,0.8705,0.6055
[20],0.001,0.4,0,1000,0.8967,0.8351,0.5564
"[30, 20]",0.001,0.4,0,985,0.9025,0.8579,0.5706
"[60, 20]",0.001,0.4,0,980,0.9016,0.8646,0.5932
"[60, 60, 20]",0.001,0.4,0,963,0.8998,0.8701,0.595
"[120, 60, 20]",0.001,0.4,0,662,0.9016,0.866,0.6057
[40],0.001,0.4,0,999,0.8976,0.8472,0.5722
"[40, 40]",0.001,0.4,0,998,0.9007,0.8647,0.5892
"[60, 40]",0.001,0.4,0,749,0.9007,0.8611,0.5855
"[120, 60, 40]",0.001,0.4,0,594,0.9039,0.8679,0.6066
[20],0.001,0.5,0,1000,0.8962,0.8381,0.5633
"[30, 20]",0.001,0.5,0,991,0.9003,0.8577,0.5695
"[60, 20]",0.001,0.5,0,952,0.9025,0.8605,0.5902
"[60, 60, 20]",0.001,0.5,0,1000,0.9012,0.8699,0.6057
"[120, 60, 20]",0.001,0.5,0,944,0.8998,0.869,0.6072
[40],0.001,0.5,0,981,0.8971,0.8484,0.5746
"[40, 40]",0.001,0.5,0,990,0.9012,0.8651,0.5946
"[60, 40]",0.001,0.5,0,970,0.9021,0.8639,0.5842
"[120, 60, 40]",0.001,0.5,0,796,0.9016,0.8697,0.6071
[20],0.001,0.6,0,1000,0.8958,0.8391,0.5658
"[30, 20]",0.001,0.6,0,991,0.9007,0.8566,0.5815
"[60, 20]",0.001,0.6,0,987,0.9012,0.8607,0.5991
"[60, 60, 20]",0.001,0.6,0,971,0.8994,0.8652,0.6005
"[120, 60, 20]",0.001,0.6,0,884,0.8998,0.8662,0.6039
[40],0.001,0.6,0,1000,0.898,0.846,0.5709
"[40, 40]",0.001,0.6,0,917,0.9016,0.8588,0.59
"[60, 40]",0.001,0.6,0,968,0.9034,0.8619,0.5957
"[120, 60, 40]",0.001,0.6,0,844,0.9007,0.8692,0.6079
[20],0.001,0.7,0,1000,0.894,0.8414,0.5676
"[30, 20]",0.001,0.7,0,1000,0.894,0.8533,0.5813
