MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 60, 20]",0.001,0.9,0,23,0.5363,0.5207,0.1354
"[120, 60, 20]",0.001,0.9,0,34,0.7316,0.5122,0.1294
[40],0.001,0.9,0,978,0.8917,0.5651,0.225
"[40, 40]",0.001,0.9,0,25,0.7503,0.5274,0.1383
"[60, 40]",0.001,0.9,0,26,0.8795,0.5138,0.142
"[120, 60, 40]",0.001,0.9,0,19,0.7823,0.5137,0.1357
[20],0.01,0.0,0,982,0.8967,0.6393,0.2956
"[30, 20]",0.01,0.0,0,986,0.9012,0.7228,0.3723
"[60, 20]",0.01,0.0,0,919,0.9044,0.7294,0.3892
"[60, 60, 20]",0.01,0.0,0,744,0.9021,0.7598,0.4029
"[120, 60, 20]",0.01,0.0,0,488,0.9043,0.7549,0.4061
[40],0.01,0.0,0,999,0.8985,0.6642,0.321
"[40, 40]",0.01,0.0,0,892,0.9044,0.7342,0.3908
"[60, 40]",0.01,0.0,0,647,0.9039,0.7165,0.3759
"[120, 60, 40]",0.01,0.0,0,347,0.9043,0.7469,0.398
[20],0.01,0.1,0,961,0.8971,0.6411,0.2993
"[30, 20]",0.01,0.1,0,927,0.903,0.7191,0.3764
"[60, 20]",0.01,0.1,0,844,0.9025,0.7206,0.3735
"[60, 60, 20]",0.01,0.1,0,696,0.9021,0.7408,0.3874
"[120, 60, 20]",0.01,0.1,0,556,0.903,0.7525,0.3998
[40],0.01,0.1,0,967,0.8971,0.657,0.3105
"[40, 40]",0.01,0.1,0,906,0.9043,0.7373,0.3924
"[60, 40]",0.01,0.1,0,705,0.9039,0.7165,0.3753
"[120, 60, 40]",0.01,0.1,0,649,0.9025,0.7619,0.4064
[20],0.01,0.2,0,982,0.8976,0.6495,0.3051
"[30, 20]",0.01,0.2,0,995,0.903,0.7254,0.3784
"[60, 20]",0.01,0.2,0,851,0.9025,0.7236,0.377
"[60, 60, 20]",0.01,0.2,0,986,0.9016,0.758,0.4001
"[120, 60, 20]",0.01,0.2,0,768,0.9043,0.7692,0.4167
[40],0.01,0.2,0,991,0.898,0.6623,0.3179
"[40, 40]",0.01,0.2,0,988,0.9034,0.7401,0.391
"[60, 40]",0.01,0.2,0,825,0.9048,0.736,0.3926
"[120, 60, 40]",0.01,0.2,0,532,0.9057,0.7652,0.4175
[20],0.01,0.3,0,962,0.8971,0.6459,0.3019
"[30, 20]",0.01,0.3,0,994,0.9025,0.7204,0.3752
"[60, 20]",0.01,0.3,0,971,0.9039,0.7355,0.3889
"[60, 60, 20]",0.01,0.3,0,983,0.9021,0.7584,0.4041
"[120, 60, 20]",0.01,0.3,0,956,0.9021,0.771,0.4136
[40],0.01,0.3,0,994,0.8994,0.6694,0.3278
"[40, 40]",0.01,0.3,0,835,0.9048,0.7265,0.3851
"[60, 40]",0.01,0.3,0,770,0.9048,0.7265,0.3861
"[120, 60, 40]",0.01,0.3,0,641,0.9039,0.7626,0.4111
[20],0.01,0.4,0,949,0.8971,0.6428,0.2993
"[30, 20]",0.01,0.4,0,974,0.9035,0.7195,0.3768
"[60, 20]",0.01,0.4,0,999,0.9035,0.7337,0.3858
"[60, 60, 20]",0.01,0.4,0,960,0.9021,0.7631,0.4068
"[120, 60, 20]",0.01,0.4,0,940,0.9016,0.7677,0.4079
[40],0.01,0.4,0,994,0.8994,0.6726,0.3293
"[40, 40]",0.01,0.4,0,996,0.9021,0.7313,0.3816
"[60, 40]",0.01,0.4,0,982,0.9026,0.7332,0.3854
"[120, 60, 40]",0.01,0.4,0,656,0.9039,0.7626,0.4117
[20],0.01,0.5,0,998,0.8976,0.6461,0.3025
"[30, 20]",0.01,0.5,0,941,0.9021,0.7092,0.3659
"[60, 20]",0.01,0.5,0,984,0.9007,0.7148,0.3671
"[60, 60, 20]",0.01,0.5,0,977,0.9016,0.7581,0.402
"[120, 60, 20]",0.01,0.5,0,880,0.9025,0.7635,0.4083
[40],0.01,0.5,0,989,0.8967,0.66,0.3117
"[40, 40]",0.01,0.5,0,945,0.9034,0.7289,0.3837
"[60, 40]",0.01,0.5,0,897,0.9048,0.725,0.3844
"[120, 60, 40]",0.01,0.5,0,921,0.9016,0.7629,0.4066
[20],0.01,0.6,0,552,0.8989,0.6184,0.2859
"[30, 20]",0.01,0.6,0,943,0.9007,0.6989,0.3562
"[60, 20]",0.01,0.6,0,999,0.9025,0.7142,0.3718
"[60, 60, 20]",0.01,0.6,0,964,0.9017,0.7486,0.3964
"[120, 60, 20]",0.01,0.6,0,985,0.9016,0.7565,0.4002
[40],0.01,0.6,0,980,0.898,0.6623,0.318
"[40, 40]",0.01,0.6,0,987,0.9035,0.7211,0.3784
"[60, 40]",0.01,0.6,0,967,0.9025,0.7205,0.3747
"[120, 60, 40]",0.01,0.6,0,978,0.9025,0.765,0.4088
[20],0.01,0.7,0,637,0.8971,0.6078,0.2728
"[30, 20]",0.01,0.7,0,966,0.8962,0.647,0.302
"[60, 20]",0.01,0.7,0,985,0.9007,0.6766,0.3402
"[60, 60, 20]",0.01,0.7,0,930,0.9035,0.7179,0.38
"[120, 60, 20]",0.01,0.7,0,817,0.9016,0.7121,0.3676
[40],0.01,0.7,0,957,0.898,0.6496,0.3086
"[40, 40]",0.01,0.7,0,947,0.9016,0.6914,0.3517
"[60, 40]",0.01,0.7,0,995,0.9025,0.7047,0.365
"[120, 60, 40]",0.01,0.7,0,946,0.9021,0.7441,0.3926
[20],0.01,0.8,0,632,0.8903,0.5596,0.2163
"[30, 20]",0.01,0.8,0,26,0.8415,0.5129,0.1299
"[60, 20]",0.01,0.8,0,978,0.8876,0.5484,0.1965
"[60, 60, 20]",0.01,0.8,0,981,0.88,0.5138,0.145
"[120, 60, 20]",0.01,0.8,0,993,0.8849,0.5357,0.1776
[40],0.01,0.8,0,839,0.8989,0.6184,0.2858
"[40, 40]",0.01,0.8,0,946,0.8962,0.6215,0.2805
"[60, 40]",0.01,0.8,0,999,0.8958,0.6404,0.2945
"[120, 60, 40]",0.01,0.8,0,938,0.8989,0.674,0.3332
[20],0.01,0.9,0,53,0.8628,0.5455,0.1735
"[30, 20]",0.01,0.9,0,32,0.5332,0.4953,0.1486
"[60, 20]",0.01,0.9,0,41,0.8741,0.5107,0.1328
"[60, 60, 20]",0.01,0.9,0,34,0.8804,0.5207,0.1465
"[120, 60, 20]",0.01,0.9,0,21,0.3952,0.5132,0.1355
[40],0.01,0.9,0,998,0.8903,0.5596,0.2154
"[40, 40]",0.01,0.9,0,20,0.5875,0.5105,0.1358
"[60, 40]",0.01,0.9,0,20,0.7556,0.5358,0.1488
"[120, 60, 40]",0.01,0.9,0,13,0.311,0.5095,0.127
[20],0.1,0.0,0,996,0.8971,0.6443,0.3017
"[30, 20]",0.1,0.0,0,992,0.903,0.7286,0.3822
"[60, 20]",0.1,0.0,0,901,0.9053,0.7269,0.3885
"[60, 60, 20]",0.1,0.0,0,653,0.9035,0.7559,0.403
"[120, 60, 20]",0.1,0.0,0,660,0.9007,0.7545,0.3962
[40],0.1,0.0,0,983,0.8985,0.6626,0.3182
"[40, 40]",0.1,0.0,0,835,0.9061,0.7383,0.3977
"[60, 40]",0.1,0.0,0,835,0.9039,0.7308,0.3847
"[120, 60, 40]",0.1,0.0,0,511,0.9025,0.7618,0.4066
[20],0.1,0.1,0,933,0.8967,0.6393,0.2948
"[30, 20]",0.1,0.1,0,935,0.9039,0.7196,0.3783
"[60, 20]",0.1,0.1,0,839,0.9021,0.7156,0.3714
"[60, 60, 20]",0.1,0.1,0,628,0.9053,0.7506,0.4052
"[120, 60, 20]",0.1,0.1,0,715,0.9044,0.7661,0.4137
[40],0.1,0.1,0,995,0.8985,0.6673,0.3221
"[40, 40]",0.1,0.1,0,912,0.903,0.7366,0.3879
"[60, 40]",0.1,0.1,0,879,0.903,0.735,0.3854
"[120, 60, 40]",0.1,0.1,0,474,0.9025,0.7587,0.4042
[20],0.1,0.2,0,969,0.8976,0.6477,0.3043
"[30, 20]",0.1,0.2,0,911,0.9053,0.7206,0.384
"[60, 20]",0.1,0.2,0,894,0.9035,0.7257,0.3828
"[60, 60, 20]",0.1,0.2,0,765,0.903,0.7605,0.4087
"[120, 60, 20]",0.1,0.2,0,726,0.9016,0.7565,0.4
[40],0.1,0.2,0,981,0.8985,0.6642,0.3206
"[40, 40]",0.1,0.2,0,958,0.9025,0.7348,0.3848
"[60, 40]",0.1,0.2,0,858,0.9044,0.7358,0.3921
"[120, 60, 40]",0.1,0.2,0,790,0.903,0.7652,0.4094
[20],0.1,0.3,0,961,0.8962,0.6422,0.296
"[30, 20]",0.1,0.3,0,995,0.9025,0.7173,0.3742
"[60, 20]",0.1,0.3,0,939,0.9021,0.7329,0.3828
"[60, 60, 20]",0.1,0.3,0,919,0.9016,0.7613,0.4036
"[120, 60, 20]",0.1,0.3,0,915,0.9048,0.7711,0.4204
[40],0.1,0.3,0,992,0.898,0.6639,0.3201
"[40, 40]",0.1,0.3,0,930,0.903,0.7334,0.3882
"[60, 40]",0.1,0.3,0,800,0.903,0.727,0.3797
"[120, 60, 40]",0.1,0.3,0,735,0.9025,0.7635,0.4076
[20],0.1,0.4,0,989,0.8953,0.6433,0.2937
"[30, 20]",0.1,0.4,0,979,0.9044,0.7232,0.382
"[60, 20]",0.1,0.4,0,931,0.9044,0.731,0.3889
"[60, 60, 20]",0.1,0.4,0,990,0.9034,0.7623,0.4109
"[120, 60, 20]",0.1,0.4,0,812,0.903,0.7653,0.4114
[40],0.1,0.4,0,1000,0.8994,0.6695,0.3288
"[40, 40]",0.1,0.4,0,956,0.9039,0.7307,0.3871
"[60, 40]",0.1,0.4,0,845,0.9048,0.7297,0.3858
"[120, 60, 40]",0.1,0.4,0,766,0.9034,0.7671,0.4123
[20],0.1,0.5,0,989,0.8953,0.6417,0.2924
"[30, 20]",0.1,0.5,0,994,0.9016,0.7105,0.3658
"[60, 20]",0.1,0.5,0,970,0.9039,0.7276,0.3842
"[60, 60, 20]",0.1,0.5,0,920,0.9025,0.7555,0.4033
