MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[60, 60]",0.01,0.6,1,epoch_4,0.9124,0.0067,0.8312,0.1779,0.5952,0.2846,2,0.9124,0.8016,0.3497,1.355
"[60, 60, 40]",0.01,0.6,1,epoch_4,0.9124,0.0067,0.836,0.1657,0.6044,0.2895,3,0.9124,0.8019,0.314,1.1318
"[120, 60, 20]",0.01,0.6,1,epoch_4,0.9124,0.0067,0.8387,0.1625,0.6121,0.2868,2,0.9124,0.8184,0.3781,1.8642
"[120, 60, 40]",0.01,0.6,1,epoch_2,0.9124,0.0067,0.8356,0.1789,0.6191,0.3207,2,0.9124,0.8219,0.3642,1.6156
"[30, 20]",0.01,0.6,3,epoch_6,0.9124,0.0067,0.8302,0.1847,0.6295,0.3014,5,0.9124,0.8065,0.3247,1.0209
"[60, 60]",0.01,0.6,3,epoch_2,0.9124,0.0067,0.8376,0.1862,0.6486,0.3223,2,0.9124,0.7991,0.342,1.3234
"[60, 60, 40]",0.01,0.6,3,epoch_3,0.9124,0.0067,0.8433,0.1731,0.6276,0.3056,3,0.9124,0.8042,0.3472,1.1099
"[120, 60, 20]",0.01,0.6,3,epoch_4,0.9124,0.0067,0.8412,0.1705,0.6328,0.3069,3,0.9124,0.8125,0.3614,1.1483
"[120, 60, 40]",0.01,0.6,3,epoch_3,0.9124,0.0067,0.8423,0.1753,0.6454,0.3194,3,0.9124,0.8121,0.3561,0.9208
"[30, 20]",0.1,0,1,epoch_0,0.9124,0.0067,0.8522,0.1387,0.6003,0.3314,0,0.9124,0.8047,0.2659,1.2664
"[60, 60]",0.1,0,1,epoch_0,0.9124,0.0067,0.8313,0.1489,0.496,0.2334,1,0.9124,0.7752,0.2699,0.9867
"[60, 60, 40]",0.1,0,1,epoch_0,0.9124,0.0067,0.8278,0.1482,0.4486,0.2574,1,0.9124,0.7852,0.2678,1.0097
"[120, 60, 20]",0.1,0,1,epoch_1,0.9124,0.0067,0.8281,0.1445,0.5044,0.2161,1,0.9124,0.8008,0.3498,1.2551
"[120, 60, 40]",0.1,0,1,epoch_0,0.9124,0.0067,0.7918,0.1769,0.438,0.2944,0,0.9124,0.7713,0.2837,2.9596
"[30, 20]",0.1,0,3,epoch_0,0.9124,0.0067,0.8506,0.1602,0.6291,0.3218,1,0.9124,0.7892,0.3103,0.6589
"[60, 60]",0.1,0,3,epoch_1,0.9124,0.0067,0.8211,0.1404,0.5297,0.2423,0,0.9124,0.7959,0.3022,0.67
"[60, 60, 40]",0.1,0,3,epoch_0,0.9124,0.0067,0.8254,0.1546,0.5138,0.2429,1,0.9124,0.7872,0.2637,1.0571
"[120, 60, 20]",0.1,0,3,epoch_1,0.9124,0.0067,0.8144,0.1288,0.5123,0.218,1,0.9124,0.8026,0.349,1.1039
"[120, 60, 40]",0.1,0,3,epoch_2,0.9124,0.0067,0.811,0.1379,0.4871,0.1873,2,0.9124,0.7761,0.336,1.1985
"[30, 20]",0.1,0.2,1,epoch_0,0.9124,0.0067,0.8438,0.14,0.5761,0.2898,2,0.9124,0.7662,0.2706,0.5713
"[60, 60]",0.1,0.2,1,epoch_0,0.9124,0.0067,0.8213,0.1966,0.5524,0.2804,5,0.9124,0.7227,0.2526,0.5396
"[60, 60, 40]",0.1,0.2,1,epoch_0,0.9124,0.0067,0.7997,0.155,0.4302,0.2676,36,0.8795,0.6914,0.2341,0.3709
