MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 40]",0.001,0.8,0,643,0.6706,0.6542,0.5736
"[120, 60, 40]",0.001,0.8,0,849,0.674,0.6529,0.5795
[20],0.001,0.9,0,498,0.6743,0.6559,0.5744
"[30, 20]",0.001,0.9,0,323,0.6074,0.5713,0.5073
"[60, 20]",0.001,0.9,0,348,0.6162,0.5958,0.5242
"[60, 60, 20]",0.001,0.9,0,307,0.5482,0.5371,0.4811
"[120, 60, 20]",0.001,0.9,0,345,0.5478,0.5391,0.4788
[40],0.001,0.9,0,712,0.6725,0.6594,0.5743
"[40, 40]",0.001,0.9,0,249,0.6029,0.5684,0.5081
"[60, 40]",0.001,0.9,0,323,0.6143,0.5803,0.5166
"[120, 60, 40]",0.001,0.9,0,245,0.5633,0.5574,0.492
[20],0.01,0.0,0,589,0.6468,0.634,0.5461
"[30, 20]",0.01,0.0,0,83,0.6521,0.6381,0.5562
"[60, 20]",0.01,0.0,0,69,0.657,0.65,0.5641
"[60, 60, 20]",0.01,0.0,0,83,0.6639,0.6423,0.5715
"[120, 60, 20]",0.01,0.0,0,106,0.6601,0.6421,0.5595
[40],0.01,0.0,0,263,0.657,0.6405,0.5561
"[40, 40]",0.01,0.0,0,123,0.6588,0.6396,0.5589
"[60, 40]",0.01,0.0,0,58,0.6705,0.6546,0.5687
"[120, 60, 40]",0.01,0.0,0,84,0.6687,0.6475,0.5674
[20],0.01,0.1,0,498,0.6604,0.6454,0.5583
"[30, 20]",0.01,0.1,0,193,0.6588,0.6324,0.5629
"[60, 20]",0.01,0.1,0,95,0.6739,0.6526,0.5792
"[60, 60, 20]",0.01,0.1,0,127,0.6808,0.6603,0.5811
"[120, 60, 20]",0.01,0.1,0,110,0.674,0.6533,0.5749
[40],0.01,0.1,0,105,0.6605,0.6551,0.5597
"[40, 40]",0.01,0.1,0,51,0.6721,0.6598,0.5738
