MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 60, 20]",0.1,0.5,0,966,0.7741,0.8028,0.7551
"[120, 60, 20]",0.1,0.5,0,996,0.7715,0.805,0.7567
[40],0.1,0.5,0,1000,0.7662,0.7922,0.7366
"[40, 40]",0.1,0.5,0,990,0.7585,0.7985,0.744
"[60, 40]",0.1,0.5,0,1000,0.7702,0.8026,0.7496
"[120, 60, 40]",0.1,0.5,0,992,0.7572,0.8043,0.7572
[20],0.1,0.6,0,975,0.7416,0.7849,0.7239
"[30, 20]",0.1,0.6,0,1000,0.7611,0.7907,0.7388
"[60, 20]",0.1,0.6,0,997,0.7715,0.7959,0.7445
"[60, 60, 20]",0.1,0.6,0,1000,0.7598,0.8001,0.7511
"[120, 60, 20]",0.1,0.6,0,998,0.7754,0.8059,0.7574
[40],0.1,0.6,0,990,0.7585,0.7911,0.7338
"[40, 40]",0.1,0.6,0,974,0.7663,0.798,0.7483
"[60, 40]",0.1,0.6,0,988,0.7689,0.8026,0.7517
"[120, 60, 40]",0.1,0.6,0,1000,0.765,0.8058,0.7562
[20],0.1,0.7,0,1000,0.7442,0.7852,0.7224
"[30, 20]",0.1,0.7,0,955,0.7428,0.7835,0.7253
"[60, 20]",0.1,0.7,0,997,0.7624,0.7941,0.7386
"[60, 60, 20]",0.1,0.7,0,1000,0.7584,0.795,0.7382
"[120, 60, 20]",0.1,0.7,0,998,0.7663,0.7967,0.7435
[40],0.1,0.7,0,998,0.7585,0.7919,0.7371
"[40, 40]",0.1,0.7,0,988,0.7533,0.789,0.7354
"[60, 40]",0.1,0.7,0,989,0.7649,0.7949,0.7401
"[120, 60, 40]",0.1,0.7,0,999,0.7689,0.8021,0.7509
[20],0.1,0.8,0,996,0.7364,0.7839,0.7255
"[30, 20]",0.1,0.8,0,999,0.7246,0.7749,0.7061
"[60, 20]",0.1,0.8,0,996,0.7337,0.7765,0.7138
"[60, 60, 20]",0.1,0.8,0,996,0.7223,0.7648,0.6932
"[120, 60, 20]",0.1,0.8,0,994,0.7155,0.7705,0.6923
[40],0.1,0.8,0,1000,0.739,0.783,0.7254
"[40, 40]",0.1,0.8,0,989,0.7337,0.7758,0.7075
"[60, 40]",0.1,0.8,0,993,0.7299,0.7789,0.7159
"[120, 60, 40]",0.1,0.8,0,999,0.7364,0.7711,0.699
[20],0.1,0.9,0,1000,0.6688,0.7732,0.7038
"[30, 20]",0.1,0.9,0,990,0.6221,0.7279,0.6356
"[60, 20]",0.1,0.9,0,987,0.6221,0.7471,0.6645
"[60, 60, 20]",0.1,0.9,0,1000,0.6221,0.691,0.5828
"[120, 60, 20]",0.1,0.9,0,983,0.6221,0.6766,0.5492
[40],0.1,0.9,0,1000,0.7129,0.7733,0.7066
"[40, 40]",0.1,0.9,0,987,0.6221,0.7494,0.6715
"[60, 40]",0.1,0.9,0,996,0.6234,0.7439,0.6551
