MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[60, 60, 40]",0.01,0,1,epoch_1,0.682,0.0957,0.8555,0.1179,0.8236,0.1609,0,0.5698,0.838,0.7811,26.3866
"[120, 60, 20]",0.01,0,1,epoch_0,0.7874,0.1252,0.8611,0.1099,0.8283,0.1462,0,0.786,0.8589,0.8202,26.808
"[120, 60, 40]",0.01,0,1,epoch_0,0.7151,0.1507,0.8637,0.1147,0.829,0.1565,0,0.714,0.8613,0.8162,11.0389
"[30, 20]",0.01,0,3,epoch_2,0.745,0.1268,0.8552,0.1163,0.8217,0.1579,1,0.7326,0.8446,0.79,17.2429
"[60, 60]",0.01,0,3,epoch_0,0.6986,0.1253,0.8595,0.1175,0.823,0.1627,0,0.6977,0.8585,0.797,11.0625
"[60, 60, 40]",0.01,0,3,epoch_1,0.7124,0.1209,0.8569,0.1164,0.8199,0.1609,0,0.5814,0.8486,0.7761,23.2029
"[120, 60, 20]",0.01,0,3,epoch_0,0.7684,0.1207,0.8708,0.1036,0.8367,0.142,0,0.7674,0.8609,0.8081,27.2964
"[120, 60, 40]",0.01,0,3,epoch_0,0.7195,0.1381,0.8698,0.1072,0.834,0.1482,0,0.7186,0.865,0.8173,11.1947
"[30, 20]",0.01,0.2,1,epoch_2,0.6469,0.0806,0.8474,0.1325,0.8168,0.1719,7,0.7581,0.8301,0.7279,1.0312
"[60, 60]",0.01,0.2,1,epoch_1,0.7309,0.13,0.8541,0.1184,0.8214,0.1599,2,0.7395,0.8369,0.756,1.4493
"[60, 60, 40]",0.01,0.2,1,epoch_1,0.6671,0.0742,0.8534,0.1221,0.8219,0.164,7,0.7558,0.8314,0.7199,0.7433
