MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[120, 60, 20]",0.001,0.2,0,740,0.7779,0.7493,0.6141
[40],0.001,0.2,0,959,0.7611,0.7256,0.5898
"[40, 40]",0.001,0.2,0,838,0.7676,0.7343,0.5993
"[60, 40]",0.001,0.2,0,976,0.7754,0.7446,0.6112
"[120, 60, 40]",0.001,0.2,0,342,0.7689,0.7367,0.6013
[20],0.001,0.3,0,993,0.7468,0.7107,0.5695
"[30, 20]",0.001,0.3,0,778,0.765,0.7322,0.5946
"[60, 20]",0.001,0.3,0,994,0.7702,0.737,0.6031
"[60, 60, 20]",0.001,0.3,0,977,0.7753,0.7479,0.6098
"[120, 60, 20]",0.001,0.3,0,519,0.7715,0.7394,0.6055
[40],0.001,0.3,0,968,0.7558,0.7208,0.5823
"[40, 40]",0.001,0.3,0,973,0.7689,0.7353,0.6021
"[60, 40]",0.001,0.3,0,589,0.7728,0.7391,0.6062
"[120, 60, 40]",0.001,0.3,0,631,0.7805,0.7535,0.6164
[20],0.001,0.4,0,977,0.752,0.7156,0.5776
"[30, 20]",0.001,0.4,0,979,0.7702,0.7356,0.6017
"[60, 20]",0.001,0.4,0,533,0.7727,0.739,0.6059
"[60, 60, 20]",0.001,0.4,0,830,0.7702,0.737,0.6037
"[120, 60, 20]",0.001,0.4,0,921,0.7728,0.7425,0.6052
[40],0.001,0.4,0,985,0.7611,0.727,0.589
"[40, 40]",0.001,0.4,0,945,0.7689,0.7353,0.6019
"[60, 40]",0.001,0.4,0,936,0.7754,0.7426,0.6115
"[120, 60, 40]",0.001,0.4,0,541,0.7767,0.747,0.6107
[20],0.001,0.5,0,960,0.7494,0.7108,0.5729
"[30, 20]",0.001,0.5,0,984,0.7598,0.7253,0.5867
"[60, 20]",0.001,0.5,0,679,0.7689,0.7346,0.6003
"[60, 60, 20]",0.001,0.5,0,870,0.7741,0.7395,0.6089
"[120, 60, 20]",0.001,0.5,0,508,0.7766,0.7462,0.6123
[40],0.001,0.5,0,939,0.7663,0.7318,0.5972
"[40, 40]",0.001,0.5,0,817,0.7676,0.7335,0.5971
"[60, 40]",0.001,0.5,0,786,0.7676,0.7335,0.5985
"[120, 60, 40]",0.001,0.5,0,826,0.7793,0.7464,0.6172
[20],0.001,0.6,0,998,0.7468,0.7081,0.569
"[30, 20]",0.001,0.6,0,993,0.7637,0.7277,0.5931
"[60, 20]",0.001,0.6,0,930,0.7676,0.7322,0.5986
"[60, 60, 20]",0.001,0.6,0,912,0.7741,0.7428,0.6077
"[120, 60, 20]",0.001,0.6,0,800,0.7741,0.7408,0.6082
[40],0.001,0.6,0,995,0.7598,0.7226,0.5868
"[40, 40]",0.001,0.6,0,786,0.7714,0.7372,0.6058
"[60, 40]",0.001,0.6,0,989,0.7676,0.7328,0.5997
"[120, 60, 40]",0.001,0.6,0,586,0.7741,0.7414,0.609
[20],0.001,0.7,0,970,0.7403,0.6995,0.5598
"[30, 20]",0.001,0.7,0,974,0.748,0.7091,0.57
"[60, 20]",0.001,0.7,0,961,0.7624,0.7254,0.5918
"[60, 60, 20]",0.001,0.7,0,964,0.7702,0.739,0.6031
"[120, 60, 20]",0.001,0.7,0,1000,0.7728,0.7405,0.6054
[40],0.001,0.7,0,986,0.7572,0.7198,0.584
"[40, 40]",0.001,0.7,0,977,0.7611,0.725,0.5892
"[60, 40]",0.001,0.7,0,826,0.7702,0.7356,0.603
"[120, 60, 40]",0.001,0.7,0,958,0.7676,0.737,0.5975
[20],0.001,0.8,0,648,0.7312,0.6671,0.5463
"[30, 20]",0.001,0.8,0,997,0.7233,0.6583,0.5315
"[60, 20]",0.001,0.8,0,875,0.7324,0.6802,0.5485
"[60, 60, 20]",0.001,0.8,0,991,0.6858,0.6044,0.4774
"[120, 60, 20]",0.001,0.8,0,989,0.7416,0.7011,0.5639
[40],0.001,0.8,0,922,0.7494,0.7102,0.5736
"[40, 40]",0.001,0.8,0,878,0.7364,0.689,0.5545
"[60, 40]",0.001,0.8,0,941,0.7403,0.7008,0.5605
"[120, 60, 40]",0.001,0.8,0,963,0.7442,0.7127,0.5666
[20],0.001,0.9,0,190,0.674,0.617,0.48
"[30, 20]",0.001,0.9,0,124,0.5064,0.56,0.4284
"[60, 20]",0.001,0.9,0,127,0.5688,0.5805,0.4289
"[60, 60, 20]",0.001,0.9,0,94,0.4182,0.5091,0.3958
"[120, 60, 20]",0.001,0.9,0,161,0.5568,0.5256,0.4006
[40],0.001,0.9,0,928,0.7156,0.6404,0.5229
"[40, 40]",0.001,0.9,0,99,0.5597,0.5628,0.4225
"[60, 40]",0.001,0.9,0,92,0.5626,0.5901,0.45
"[120, 60, 40]",0.001,0.9,0,108,0.583,0.551,0.4258
[20],0.01,0.0,0,976,0.7377,0.6974,0.5564
"[30, 20]",0.01,0.0,0,763,0.7572,0.7239,0.5832
"[60, 20]",0.01,0.0,0,646,0.765,0.7321,0.5965
"[60, 60, 20]",0.01,0.0,0,762,0.7767,0.7463,0.6106
"[120, 60, 20]",0.01,0.0,0,529,0.7727,0.7425,0.6049
[40],0.01,0.0,0,858,0.752,0.7155,0.5769
"[40, 40]",0.01,0.0,0,981,0.7662,0.7332,0.5977
"[60, 40]",0.01,0.0,0,532,0.7676,0.7362,0.601
"[120, 60, 40]",0.01,0.0,0,503,0.7792,0.7517,0.6155
[20],0.01,0.1,0,964,0.7377,0.6987,0.5567
"[30, 20]",0.01,0.1,0,753,0.7598,0.7267,0.5866
"[60, 20]",0.01,0.1,0,962,0.7728,0.7412,0.6078
"[60, 60, 20]",0.01,0.1,0,957,0.7689,0.7386,0.6
"[120, 60, 20]",0.01,0.1,0,428,0.7676,0.7376,0.5998
[40],0.01,0.1,0,981,0.7571,0.7224,0.5846
"[40, 40]",0.01,0.1,0,895,0.7663,0.7339,0.5973
"[60, 40]",0.01,0.1,0,799,0.7728,0.7397,0.6069
"[120, 60, 40]",0.01,0.1,0,487,0.7766,0.7477,0.6108
[20],0.01,0.2,0,992,0.7481,0.7097,0.5701
"[30, 20]",0.01,0.2,0,968,0.765,0.7301,0.596
"[60, 20]",0.01,0.2,0,673,0.7663,0.7332,0.595
"[60, 60, 20]",0.01,0.2,0,702,0.7741,0.7422,0.6098
"[120, 60, 20]",0.01,0.2,0,748,0.7766,0.7463,0.6106
[40],0.01,0.2,0,940,0.7572,0.7218,0.5842
"[40, 40]",0.01,0.2,0,894,0.7702,0.7377,0.6027
"[60, 40]",0.01,0.2,0,890,0.7715,0.7374,0.6061
"[120, 60, 40]",0.01,0.2,0,698,0.774,0.7468,0.6083
[20],0.01,0.3,0,992,0.7416,0.7019,0.5615
"[30, 20]",0.01,0.3,0,886,0.7702,0.737,0.6029
"[60, 20]",0.01,0.3,0,998,0.7689,0.7367,0.6008
"[60, 60, 20]",0.01,0.3,0,994,0.7728,0.7411,0.6067
"[120, 60, 20]",0.01,0.3,0,520,0.7754,0.7459,0.6113
[40],0.01,0.3,0,988,0.7585,0.7235,0.5857
"[40, 40]",0.01,0.3,0,948,0.7715,0.7381,0.6051
"[60, 40]",0.01,0.3,0,931,0.7806,0.7461,0.6177
"[120, 60, 40]",0.01,0.3,0,295,0.7728,0.7418,0.6067
[20],0.01,0.4,0,983,0.7507,0.7126,0.5737
"[30, 20]",0.01,0.4,0,902,0.7663,0.7318,0.5964
"[60, 20]",0.01,0.4,0,921,0.7741,0.7395,0.6083
"[60, 60, 20]",0.01,0.4,0,420,0.7741,0.7428,0.6087
"[120, 60, 20]",0.01,0.4,0,987,0.7767,0.7469,0.6132
[40],0.01,0.4,0,913,0.7662,0.7325,0.5965
"[40, 40]",0.01,0.4,0,983,0.7715,0.7374,0.6058
"[60, 40]",0.01,0.4,0,981,0.778,0.7467,0.6153
"[120, 60, 40]",0.01,0.4,0,965,0.7701,0.7436,0.6019
[20],0.01,0.5,0,968,0.7455,0.7077,0.567
"[30, 20]",0.01,0.5,0,997,0.7663,0.7318,0.5971
"[60, 20]",0.01,0.5,0,911,0.7741,0.7414,0.609
"[60, 60, 20]",0.01,0.5,0,919,0.7754,0.7446,0.6107
"[120, 60, 20]",0.01,0.5,0,784,0.7728,0.7419,0.6073
[40],0.01,0.5,0,998,0.7571,0.7197,0.5831
"[40, 40]",0.01,0.5,0,709,0.7688,0.7345,0.5999
"[60, 40]",0.01,0.5,0,791,0.7689,0.7346,0.6012
"[120, 60, 40]",0.01,0.5,0,845,0.7714,0.7381,0.6027
[20],0.01,0.6,0,983,0.7494,0.7095,0.5727
"[30, 20]",0.01,0.6,0,996,0.7611,0.7257,0.5903
"[60, 20]",0.01,0.6,0,940,0.7727,0.7377,0.607
"[60, 60, 20]",0.01,0.6,0,997,0.7714,0.7386,0.6056
"[120, 60, 20]",0.01,0.6,0,753,0.7741,0.7415,0.6096
[40],0.01,0.6,0,981,0.7585,0.7249,0.5858
"[40, 40]",0.01,0.6,0,944,0.7702,0.7376,0.6034
"[60, 40]",0.01,0.6,0,993,0.7754,0.7418,0.6109
"[120, 60, 40]",0.01,0.6,0,993,0.7728,0.7432,0.6063
[20],0.01,0.7,0,945,0.7442,0.7026,0.5642
"[30, 20]",0.01,0.7,0,956,0.7507,0.7112,0.5746
"[60, 20]",0.01,0.7,0,970,0.7662,0.7318,0.5965
"[60, 60, 20]",0.01,0.7,0,984,0.7676,0.7356,0.5994
"[120, 60, 20]",0.01,0.7,0,999,0.7585,0.7289,0.5873
[40],0.01,0.7,0,1000,0.7532,0.7146,0.5788
"[40, 40]",0.01,0.7,0,974,0.7624,0.7267,0.5912
"[60, 40]",0.01,0.7,0,975,0.7728,0.739,0.6051
"[120, 60, 40]",0.01,0.7,0,841,0.7702,0.7403,0.6009
[20],0.01,0.8,0,989,0.7259,0.6676,0.5372
"[30, 20]",0.01,0.8,0,955,0.7234,0.6609,0.5322
"[60, 20]",0.01,0.8,0,1000,0.7428,0.6968,0.5619
"[60, 60, 20]",0.01,0.8,0,991,0.7078,0.6369,0.51
"[120, 60, 20]",0.01,0.8,0,962,0.7337,0.69,0.5523
[40],0.01,0.8,0,990,0.7481,0.7064,0.5714
"[40, 40]",0.01,0.8,0,947,0.7403,0.6967,0.5607
"[60, 40]",0.01,0.8,0,972,0.7402,0.7007,0.5597
"[120, 60, 40]",0.01,0.8,0,987,0.7481,0.7171,0.5719
[20],0.01,0.9,0,191,0.6742,0.607,0.4771
"[30, 20]",0.01,0.9,0,144,0.587,0.549,0.4184
"[60, 20]",0.01,0.9,0,154,0.6207,0.5752,0.4313
"[60, 60, 20]",0.01,0.9,0,145,0.5536,0.5228,0.395
"[120, 60, 20]",0.01,0.9,0,125,0.4737,0.531,0.3979
[40],0.01,0.9,0,963,0.7246,0.6564,0.5365
"[40, 40]",0.01,0.9,0,104,0.5936,0.5696,0.4269
"[60, 40]",0.01,0.9,0,86,0.5308,0.5343,0.4046
"[120, 60, 40]",0.01,0.9,0,102,0.501,0.5319,0.4029
[20],0.1,0.0,0,950,0.7416,0.7039,0.5596
"[30, 20]",0.1,0.0,0,794,0.7585,0.7263,0.5846
"[60, 20]",0.1,0.0,0,915,0.7689,0.7346,0.6016
"[60, 60, 20]",0.1,0.0,0,418,0.7623,0.7314,0.5917
"[120, 60, 20]",0.1,0.0,0,506,0.7766,0.7462,0.6115
[40],0.1,0.0,0,881,0.7559,0.7221,0.5833
"[40, 40]",0.1,0.0,0,963,0.7675,0.7349,0.5978
"[60, 40]",0.1,0.0,0,711,0.7741,0.7408,0.6091
"[120, 60, 40]",0.1,0.0,0,478,0.7753,0.7472,0.6096
[20],0.1,0.1,0,997,0.7377,0.7014,0.5581
"[30, 20]",0.1,0.1,0,848,0.7636,0.7331,0.5936
"[60, 20]",0.1,0.1,0,545,0.7689,0.7372,0.6003
"[60, 60, 20]",0.1,0.1,0,688,0.7779,0.7453,0.615
"[120, 60, 20]",0.1,0.1,0,630,0.7792,0.7477,0.614
[40],0.1,0.1,0,921,0.7546,0.7204,0.5802
"[40, 40]",0.1,0.1,0,861,0.7715,0.7394,0.6054
"[60, 40]",0.1,0.1,0,803,0.7689,0.7366,0.601
"[120, 60, 40]",0.1,0.1,0,289,0.7702,0.7377,0.6035
[20],0.1,0.2,0,971,0.7454,0.709,0.5663
"[30, 20]",0.1,0.2,0,847,0.7689,0.7353,0.6013
"[60, 20]",0.1,0.2,0,713,0.7702,0.739,0.6019
"[60, 60, 20]",0.1,0.2,0,970,0.7741,0.7442,0.6065
"[120, 60, 20]",0.1,0.2,0,704,0.7727,0.7425,0.604
[40],0.1,0.2,0,913,0.7572,0.7224,0.584
"[40, 40]",0.1,0.2,0,1000,0.7728,0.7439,0.605
"[60, 40]",0.1,0.2,0,541,0.7715,0.7401,0.6063
"[120, 60, 40]",0.1,0.2,0,456,0.7754,0.7446,0.6088
[20],0.1,0.3,0,999,0.7442,0.7059,0.5641
"[30, 20]",0.1,0.3,0,962,0.7676,0.7342,0.5992
"[60, 20]",0.1,0.3,0,1000,0.7728,0.7398,0.6066
"[60, 60, 20]",0.1,0.3,0,998,0.7728,0.7418,0.6061
"[120, 60, 20]",0.1,0.3,0,745,0.7754,0.7472,0.6096
[40],0.1,0.3,0,917,0.7598,0.7253,0.5869
"[40, 40]",0.1,0.3,0,925,0.7728,0.7391,0.6073
"[60, 40]",0.1,0.3,0,972,0.7741,0.7429,0.609
"[120, 60, 40]",0.1,0.3,0,494,0.7779,0.746,0.6128
[20],0.1,0.4,0,994,0.7468,0.7088,0.5688
"[30, 20]",0.1,0.4,0,858,0.7662,0.7324,0.5985
"[60, 20]",0.1,0.4,0,964,0.7702,0.737,0.6027
"[60, 60, 20]",0.1,0.4,0,833,0.7754,0.7432,0.6112
"[120, 60, 20]",0.1,0.4,0,675,0.7741,0.7428,0.6097
[40],0.1,0.4,0,953,0.7585,0.7229,0.5867
"[40, 40]",0.1,0.4,0,706,0.7754,0.7418,0.6106
"[60, 40]",0.1,0.4,0,942,0.7754,0.7419,0.6095
"[120, 60, 40]",0.1,0.4,0,538,0.7767,0.7449,0.6123
[20],0.1,0.5,0,963,0.7532,0.7166,0.577
